Timestamp (s),Player_Name,X_Pitch (m),Y_Pitch (m),Speed (km/h),Heart_Rate (bpm),Acceleration_m/s2
7.2,Mateus Oliveira (Meia),93.28,33.84,3.5,148,-27.83
7.3,Mateus Oliveira (Meia),80.23,20.76,9.5,155,16.56
7.4,Mateus Oliveira (Meia),92.88,57.97,3.3,149,-17.21
7.5,Mateus Oliveira (Meia),55.43,64.59,12.5,165,25.76
7.6,Mateus Oliveira (Meia),87.04,57.95,10.7,159,-5.13
7.7,Mateus Oliveira (Meia),79.58,33.79,5.3,149,-14.93
7.8,Mateus Oliveira (Meia),78.51,26.03,15.1,167,27.28
7.9,Mateus Oliveira (Meia),78.8,28.74,10.3,162,-13.32
8.0,Mateus Oliveira (Meia),62.26,22.52,9.9,160,-1.22
8.1,Mateus Oliveira (Meia),78.22,38.35,8.3,166,-4.49
8.2,Mateus Oliveira (Meia),80.5,59.07,9.0,155,1.9
8.3,Mateus Oliveira (Meia),92.64,39.05,7.5,155,-4.15
8.4,Mateus Oliveira (Meia),75.72,45.87,6.0,157,-4.0
8.5,Mateus Oliveira (Meia),73.37,55.78,13.9,163,21.89
8.6,Mateus Oliveira (Meia),75.18,36.19,7.0,163,-19.13
8.7,Mateus Oliveira (Meia),89.25,63.19,6.9,155,-0.37
8.8,Mateus Oliveira (Meia),82.79,64.4,8.5,159,4.41
8.9,Mateus Oliveira (Meia),75.25,39.88,14.7,167,17.26
9.0,Mateus Oliveira (Meia),85.0,31.13,13.5,169,-3.26
9.1,Mateus Oliveira (Meia),82.26,47.58,7.4,151,-16.96
9.2,Mateus Oliveira (Meia),87.7,37.26,13.9,172,18.02
9.3,Mateus Oliveira (Meia),72.95,27.05,9.4,160,-12.43
9.4,Mateus Oliveira (Meia),76.05,56.93,5.6,156,-10.57
9.5,Mateus Oliveira (Meia),75.97,55.87,7.1,152,4.08
9.6,Mateus Oliveira (Meia),68.97,41.35,14.5,168,20.55
9.7,Mateus Oliveira (Meia),83.52,28.14,17.3,167,7.88
9.8,Mateus Oliveira (Meia),80.65,25.45,10.3,165,-19.59
9.9,Mateus Oliveira (Meia),79.15,36.7,6.7,149,-9.85
10.0,Mateus Oliveira (Meia),78.45,33.58,8.5,158,4.91
10.1,Mateus Oliveira (Meia),65.9,35.2,6.0,152,-7.08
10.2,Mateus Oliveira (Meia),75.13,53.46,6.5,148,1.62
10.3,Mateus Oliveira (Meia),78.93,48.12,30.7,187,67.0
10.4,Mateus Oliveira (Meia),71.86,58.19,8.7,159,-61.03
10.5,Mateus Oliveira (Meia),79.98,28.95,9.5,155,2.22
10.6,Mateus Oliveira (Meia),85.52,34.38,25.8,181,45.39
10.7,Mateus Oliveira (Meia),95.88,48.9,8.1,158,-49.19
10.8,Mateus Oliveira (Meia),80.24,44.21,12.0,166,10.91
10.9,Mateus Oliveira (Meia),81.9,58.67,8.1,159,-11.0
11.0,Mateus Oliveira (Meia),77.7,43.87,8.3,157,0.71
11.1,Mateus Oliveira (Meia),62.91,62.29,8.3,158,-0.13
11.2,Mateus Oliveira (Meia),79.45,46.07,15.2,168,19.11
11.3,Mateus Oliveira (Meia),81.08,52.52,7.0,151,-22.61
11.4,Mateus Oliveira (Meia),104.26,39.19,11.4,163,12.08
11.5,Mateus Oliveira (Meia),79.49,39.63,6.0,149,-14.94
11.6,Mateus Oliveira (Meia),83.45,48.03,10.4,163,12.2
11.7,Mateus Oliveira (Meia),76.74,60.88,11.2,162,2.18
11.8,Mateus Oliveira (Meia),70.15,50.26,13.3,156,5.98
11.9,Mateus Oliveira (Meia),92.87,36.03,7.5,160,-16.32
12.0,Mateus Oliveira (Meia),82.25,55.48,4.5,149,-8.11
12.1,Mateus Oliveira (Meia),88.15,14.35,5.9,151,3.67
12.2,Mateus Oliveira (Meia),71.58,23.72,12.9,168,19.43
12.3,Mateus Oliveira (Meia),91.35,48.17,17.3,170,12.41
12.4,Mateus Oliveira (Meia),68.59,40.2,12.3,165,-13.86
12.5,Mateus Oliveira (Meia),87.85,45.86,4.0,148,-23.3
12.6,Mateus Oliveira (Meia),100.88,37.17,12.2,166,22.92
12.7,Mateus Oliveira (Meia),70.53,49.93,5.2,153,-19.38
12.8,Mateus Oliveira (Meia),73.49,28.77,7.6,158,6.61
12.9,Mateus Oliveira (Meia),81.11,47.11,9.7,158,5.96
13.0,Mateus Oliveira (Meia),76.78,51.69,27.3,192,48.68
13.1,Mateus Oliveira (Meia),65.46,55.99,9.3,166,-50.03
13.2,Mateus Oliveira (Meia),80.18,64.33,6.6,146,-7.41
13.3,Mateus Oliveira (Meia),74.67,43.16,13.2,168,18.46
13.4,Mateus Oliveira (Meia),85.88,39.34,6.9,151,-17.64
13.5,Mateus Oliveira (Meia),73.45,20.47,14.0,168,19.8
13.6,Mateus Oliveira (Meia),91.76,34.74,3.6,143,-29.04
13.7,Mateus Oliveira (Meia),71.89,38.67,9.9,161,17.5
13.8,Mateus Oliveira (Meia),77.21,51.18,4.1,147,-16.02
13.9,Mateus Oliveira (Meia),85.82,30.3,5.7,151,4.36
14.0,Mateus Oliveira (Meia),71.32,49.75,6.9,153,3.57
14.1,Mateus Oliveira (Meia),84.16,35.62,15.1,164,22.6
14.2,Mateus Oliveira (Meia),90.96,36.15,14.2,163,-2.36
14.3,Mateus Oliveira (Meia),68.21,45.63,12.5,162,-4.82
14.4,Mateus Oliveira (Meia),81.66,37.47,9.1,158,-9.34
14.5,Mateus Oliveira (Meia),86.22,35.58,9.8,160,1.72
14.6,Mateus Oliveira (Meia),87.25,20.0,14.1,173,11.98
14.7,Mateus Oliveira (Meia),69.73,34.1,11.8,158,-6.28
14.8,Mateus Oliveira (Meia),70.22,33.13,9.1,159,-7.59
14.9,Mateus Oliveira (Meia),86.61,33.37,14.9,170,16.32
15.0,Mateus Oliveira (Meia),83.44,43.92,12.3,160,-7.47
15.1,Mateus Oliveira (Meia),82.04,47.38,10.0,150,-6.36
15.2,Mateus Oliveira (Meia),83.89,44.74,7.2,148,-7.79
15.3,Mateus Oliveira (Meia),72.66,51.13,6.8,146,-1.0
15.4,Mateus Oliveira (Meia),82.32,46.4,7.7,162,2.37
15.5,Mateus Oliveira (Meia),80.97,37.57,10.8,163,8.81
15.6,Mateus Oliveira (Meia),70.9,32.32,12.3,166,4.21
15.7,Mateus Oliveira (Meia),96.87,42.49,3.2,153,-25.33
15.8,Mateus Oliveira (Meia),86.16,45.78,1.2,144,-5.58
15.9,Mateus Oliveira (Meia),70.67,56.86,5.2,162,11.06
16.0,Mateus Oliveira (Meia),85.79,53.78,7.4,157,6.04
16.1,Mateus Oliveira (Meia),73.85,33.03,13.8,165,17.82
16.2,Mateus Oliveira (Meia),86.23,37.78,7.9,161,-16.4
16.3,Mateus Oliveira (Meia),87.55,46.45,10.0,162,5.95
16.4,Mateus Oliveira (Meia),69.34,53.73,10.7,166,1.81
16.5,Mateus Oliveira (Meia),86.9,50.76,4.9,157,-16.02
16.6,Mateus Oliveira (Meia),84.94,40.16,14.8,165,27.59
16.7,Mateus Oliveira (Meia),86.45,23.28,6.3,155,-23.61
16.8,Mateus Oliveira (Meia),97.76,27.01,15.2,164,24.72
16.9,Mateus Oliveira (Meia),80.26,42.94,8.5,151,-18.73
17.0,Mateus Oliveira (Meia),71.57,43.91,7.6,159,-2.35
17.1,Mateus Oliveira (Meia),72.71,27.95,4.6,155,-8.59
17.2,Mateus Oliveira (Meia),73.47,39.89,9.8,151,14.53
17.3,Mateus Oliveira (Meia),78.01,48.69,18.0,169,22.86
17.4,Mateus Oliveira (Meia),85.1,26.75,10.7,161,-20.45
17.5,Mateus Oliveira (Meia),82.06,53.1,10.1,160,-1.59
17.6,Mateus Oliveira (Meia),86.87,34.04,6.3,162,-10.41
17.7,Mateus Oliveira (Meia),83.28,56.23,11.4,159,13.98
17.8,Mateus Oliveira (Meia),93.87,32.21,9.6,158,-4.83
17.9,Mateus Oliveira (Meia),79.01,27.65,8.7,160,-2.45
18.0,Mateus Oliveira (Meia),106.51,34.42,11.0,160,6.2
18.1,Mateus Oliveira (Meia),84.66,38.55,1.7,145,-25.67
18.2,Mateus Oliveira (Meia),74.16,34.75,8.6,155,19.06
18.3,Mateus Oliveira (Meia),69.61,36.17,4.2,152,-12.18
18.4,Mateus Oliveira (Meia),83.53,41.58,9.1,157,13.62
18.5,Mateus Oliveira (Meia),77.58,40.05,6.1,156,-8.37
18.6,Mateus Oliveira (Meia),85.49,38.47,6.4,155,0.76
18.7,Mateus Oliveira (Meia),85.49,19.3,3.7,138,-7.53
18.8,Mateus Oliveira (Meia),79.75,44.5,13.5,158,27.21
18.9,Mateus Oliveira (Meia),71.64,40.57,6.3,152,-19.93
19.0,Mateus Oliveira (Meia),67.38,62.22,6.5,158,0.59
19.1,Mateus Oliveira (Meia),75.57,28.96,15.1,165,23.94
19.2,Mateus Oliveira (Meia),87.22,18.06,11.3,163,-10.7
19.3,Mateus Oliveira (Meia),82.0,45.73,0.9,148,-28.92
19.4,Mateus Oliveira (Meia),69.48,41.99,14.5,168,38.0
19.5,Mateus Oliveira (Meia),82.14,25.24,15.6,166,2.92
19.6,Mateus Oliveira (Meia),82.92,20.45,15.2,163,-1.04
19.7,Mateus Oliveira (Meia),73.32,55.31,11.7,157,-9.85
19.8,Mateus Oliveira (Meia),81.05,58.59,4.6,163,-19.67
19.9,Mateus Oliveira (Meia),79.54,10.79,8.8,160,11.69
20.0,Mateus Oliveira (Meia),67.51,34.12,3.2,157,-15.55
20.1,Mateus Oliveira (Meia),84.69,61.63,5.5,149,6.47
20.2,Mateus Oliveira (Meia),85.07,32.68,4.6,156,-2.72
20.3,Mateus Oliveira (Meia),90.06,32.88,6.5,152,5.38
20.4,Mateus Oliveira (Meia),91.05,33.71,9.7,159,8.79
20.5,Mateus Oliveira (Meia),66.88,27.71,7.2,154,-6.77
20.6,Mateus Oliveira (Meia),69.5,18.33,7.0,152,-0.48
20.7,Mateus Oliveira (Meia),84.74,52.65,7.8,153,2.19
20.8,Mateus Oliveira (Meia),85.09,19.39,15.0,167,19.89
20.9,Mateus Oliveira (Meia),84.24,45.02,17.7,169,7.38
21.0,Mateus Oliveira (Meia),116.89,50.6,7.2,156,-29.05
21.1,Mateus Oliveira (Meia),81.41,23.16,10.3,157,8.74
21.2,Mateus Oliveira (Meia),91.9,27.55,5.6,156,-13.08
21.3,Mateus Oliveira (Meia),89.77,57.08,12.1,161,17.88
21.4,Mateus Oliveira (Meia),86.55,46.15,7.1,162,-13.82
21.5,Mateus Oliveira (Meia),72.16,32.71,6.2,154,-2.61
21.6,Mateus Oliveira (Meia),88.76,53.82,17.0,170,30.14
21.7,Mateus Oliveira (Meia),71.5,56.28,3.6,156,-37.31
21.8,Mateus Oliveira (Meia),77.11,43.53,0.8,144,-7.68
21.9,Mateus Oliveira (Meia),75.38,30.34,11.9,161,30.91
22.0,Mateus Oliveira (Meia),81.35,35.57,7.5,153,-12.25
22.1,Mateus Oliveira (Meia),101.79,43.11,6.4,155,-3.09
22.2,Mateus Oliveira (Meia),64.53,39.13,19.9,171,37.53
22.3,Mateus Oliveira (Meia),87.4,51.79,11.9,165,-22.24
22.4,Mateus Oliveira (Meia),65.86,20.2,8.8,157,-8.76
22.5,Mateus Oliveira (Meia),76.38,20.59,6.2,157,-7.22
22.6,Mateus Oliveira (Meia),88.16,42.39,10.8,164,12.82
22.7,Mateus Oliveira (Meia),79.45,35.46,2.1,146,-24.21
22.8,Mateus Oliveira (Meia),71.64,34.93,6.9,152,13.52
22.9,Mateus Oliveira (Meia),74.82,16.12,8.9,156,5.32
23.0,Mateus Oliveira (Meia),87.2,40.27,9.9,159,2.78
23.1,Mateus Oliveira (Meia),72.66,40.1,8.4,158,-3.95
23.2,Mateus Oliveira (Meia),83.31,48.29,6.2,156,-6.12
23.3,Mateus Oliveira (Meia),78.67,42.34,12.7,163,17.93
23.4,Mateus Oliveira (Meia),75.75,39.39,2.4,145,-28.58
23.5,Mateus Oliveira (Meia),98.9,52.65,7.9,154,15.26
23.6,Mateus Oliveira (Meia),88.23,22.73,6.9,157,-2.67
23.7,Mateus Oliveira (Meia),59.49,46.91,13.0,161,17.0
23.8,Mateus Oliveira (Meia),84.32,21.43,7.2,157,-16.34
23.9,Mateus Oliveira (Meia),73.5,30.15,10.8,163,9.96
24.0,Mateus Oliveira (Meia),87.1,23.08,10.3,166,-1.16
24.1,Mateus Oliveira (Meia),73.16,47.81,1.7,145,-24.09
24.2,Mateus Oliveira (Meia),77.92,40.25,8.7,156,19.66
24.3,Mateus Oliveira (Meia),84.44,39.31,2.0,138,-18.63
24.4,Mateus Oliveira (Meia),86.69,26.9,10.4,156,23.27
24.5,Mateus Oliveira (Meia),68.15,38.0,6.1,150,-12.02
24.6,Mateus Oliveira (Meia),77.72,29.04,13.7,167,21.3
24.7,Mateus Oliveira (Meia),74.37,43.98,8.3,164,-15.19
24.8,Mateus Oliveira (Meia),72.97,27.32,5.9,156,-6.55
24.9,Mateus Oliveira (Meia),93.83,56.49,13.8,169,21.89
25.0,Mateus Oliveira (Meia),82.89,21.05,5.5,150,-23.02
25.1,Mateus Oliveira (Meia),70.62,28.1,12.6,159,19.63
25.2,Mateus Oliveira (Meia),86.99,60.12,10.9,160,-4.75
25.3,Mateus Oliveira (Meia),98.0,36.08,7.5,153,-9.26
25.4,Mateus Oliveira (Meia),89.58,21.44,3.7,147,-10.78
25.5,Mateus Oliveira (Meia),65.77,42.53,33.0,195,81.62
25.6,Mateus Oliveira (Meia),78.98,32.47,11.0,156,-61.21
25.7,Mateus Oliveira (Meia),91.16,29.01,5.9,157,-14.14
25.8,Mateus Oliveira (Meia),74.13,23.09,10.0,158,11.3
25.9,Mateus Oliveira (Meia),85.41,75.31,13.0,164,8.46
26.0,Mateus Oliveira (Meia),88.36,36.45,9.4,159,-9.93
26.1,Mateus Oliveira (Meia),72.01,15.68,10.0,158,1.4
26.2,Mateus Oliveira (Meia),79.22,58.42,13.1,169,8.82
26.3,Mateus Oliveira (Meia),53.86,45.77,15.1,161,5.61
26.4,Mateus Oliveira (Meia),70.63,29.1,8.5,162,-18.41
26.5,Mateus Oliveira (Meia),77.06,31.07,3.7,149,-13.53
26.6,Mateus Oliveira (Meia),67.8,50.79,3.8,154,0.39
26.7,Mateus Oliveira (Meia),92.1,36.15,6.2,155,6.8
26.8,Mateus Oliveira (Meia),68.36,18.49,5.3,156,-2.71
26.9,Mateus Oliveira (Meia),72.52,61.98,2.3,147,-8.31
27.0,Mateus Oliveira (Meia),81.17,32.67,16.4,170,39.23
27.1,Mateus Oliveira (Meia),92.66,56.55,11.1,166,-14.66
27.2,Mateus Oliveira (Meia),70.44,57.67,6.9,155,-11.69
27.3,Mateus Oliveira (Meia),87.72,25.85,8.9,163,5.46
27.4,Mateus Oliveira (Meia),78.74,55.82,1.9,149,-19.49
27.5,Mateus Oliveira (Meia),70.96,31.33,13.6,162,32.71
27.6,Mateus Oliveira (Meia),83.86,19.97,1.2,145,-34.52
27.7,Mateus Oliveira (Meia),80.97,34.45,11.0,165,27.33
27.8,Mateus Oliveira (Meia),74.48,45.97,1.6,142,-26.09
27.9,Mateus Oliveira (Meia),78.74,36.54,7.3,159,15.83
28.0,Mateus Oliveira (Meia),77.07,38.4,14.0,164,18.41
28.1,Mateus Oliveira (Meia),77.54,52.85,2.5,143,-31.96
28.2,Mateus Oliveira (Meia),85.92,39.99,8.4,158,16.5
28.3,Mateus Oliveira (Meia),93.37,29.76,11.5,159,8.63
28.4,Mateus Oliveira (Meia),70.38,46.47,10.9,158,-1.82
28.5,Mateus Oliveira (Meia),101.83,42.73,9.3,156,-4.38
28.6,Mateus Oliveira (Meia),61.93,8.51,28.9,188,54.55
28.7,Mateus Oliveira (Meia),80.72,46.76,6.6,153,-62.12
28.8,Mateus Oliveira (Meia),84.82,43.85,16.7,171,28.26
28.9,Mateus Oliveira (Meia),81.08,37.63,2.6,152,-39.37
29.0,Mateus Oliveira (Meia),77.01,52.8,13.6,167,30.81
29.1,Mateus Oliveira (Meia),78.91,32.21,9.8,166,-10.81
29.2,Mateus Oliveira (Meia),75.57,44.08,11.5,170,4.75
29.3,Mateus Oliveira (Meia),75.73,22.84,12.2,162,1.97
29.4,Mateus Oliveira (Meia),88.06,46.19,11.2,157,-2.65
29.5,Mateus Oliveira (Meia),83.11,62.29,5.8,152,-15.19
29.6,Mateus Oliveira (Meia),71.77,27.39,7.9,157,5.83
29.7,Mateus Oliveira (Meia),87.69,29.21,3.2,158,-12.95
29.8,Mateus Oliveira (Meia),83.7,29.28,7.8,155,12.81
29.9,Mateus Oliveira (Meia),87.13,42.43,10.3,161,6.9
30.0,Mateus Oliveira (Meia),87.02,27.83,11.4,159,3.16
30.1,Mateus Oliveira (Meia),73.11,46.2,10.6,159,-2.4
30.2,Mateus Oliveira (Meia),73.64,52.08,2.0,143,-23.85
30.3,Mateus Oliveira (Meia),84.75,47.57,6.8,149,13.25
30.4,Mateus Oliveira (Meia),85.26,20.07,6.4,159,-1.11
30.5,Mateus Oliveira (Meia),79.03,48.83,3.8,154,-7.2
30.6,Mateus Oliveira (Meia),81.56,50.79,5.7,152,5.27
30.7,Mateus Oliveira (Meia),90.42,51.41,9.0,162,9.3
30.8,Mateus Oliveira (Meia),73.75,42.72,14.7,161,15.69
30.9,Mateus Oliveira (Meia),86.5,42.78,26.2,183,31.93
31.0,Mateus Oliveira (Meia),78.4,53.17,4.5,152,-60.19
31.1,Mateus Oliveira (Meia),76.99,63.75,6.6,159,5.88
31.2,Mateus Oliveira (Meia),89.92,29.12,10.3,161,10.41
31.3,Mateus Oliveira (Meia),89.5,53.84,13.9,168,9.85
31.4,Mateus Oliveira (Meia),87.76,39.24,8.7,156,-14.56
31.5,Mateus Oliveira (Meia),92.64,36.25,3.2,150,-15.1
31.6,Mateus Oliveira (Meia),79.06,22.32,4.1,156,2.36
31.7,Mateus Oliveira (Meia),87.68,37.01,9.8,153,15.79
31.8,Mateus Oliveira (Meia),80.68,25.86,13.0,169,8.97
31.9,Mateus Oliveira (Meia),81.73,36.5,16.3,168,9.12
32.0,Mateus Oliveira (Meia),77.06,27.62,4.3,145,-33.31
32.1,Mateus Oliveira (Meia),81.14,32.54,9.6,158,14.69
32.2,Mateus Oliveira (Meia),86.67,33.9,4.9,157,-13.0
32.3,Mateus Oliveira (Meia),72.5,40.31,5.4,151,1.46
32.4,Mateus Oliveira (Meia),97.25,19.78,5.1,153,-0.94
32.5,Mateus Oliveira (Meia),70.78,23.09,7.7,150,7.21
32.6,Mateus Oliveira (Meia),69.97,42.88,5.5,145,-6.09
32.7,Mateus Oliveira (Meia),89.81,32.12,18.9,169,37.35
32.8,Mateus Oliveira (Meia),88.04,54.46,7.2,159,-32.65
32.9,Mateus Oliveira (Meia),87.36,43.63,13.0,164,16.08
33.0,Mateus Oliveira (Meia),86.02,47.35,6.4,158,-18.3
33.1,Mateus Oliveira (Meia),79.85,58.33,17.9,176,32.14
33.2,Mateus Oliveira (Meia),73.17,35.87,10.4,157,-21.05
33.3,Mateus Oliveira (Meia),79.4,32.02,12.3,169,5.53
33.4,Mateus Oliveira (Meia),72.47,52.25,26.2,182,38.6
33.5,Mateus Oliveira (Meia),88.38,46.59,12.9,168,-37.05
33.6,Mateus Oliveira (Meia),77.94,36.73,10.3,164,-7.13
33.7,Mateus Oliveira (Meia),71.37,56.07,7.5,156,-7.93
33.8,Mateus Oliveira (Meia),79.85,36.35,4.7,152,-7.79
33.9,Mateus Oliveira (Meia),86.97,43.43,8.0,158,9.36
34.0,Mateus Oliveira (Meia),74.4,40.26,7.7,157,-0.95
34.1,Mateus Oliveira (Meia),72.74,29.02,12.5,162,13.25
34.2,Mateus Oliveira (Meia),81.91,42.01,8.1,155,-12.24
34.3,Mateus Oliveira (Meia),83.87,54.94,1.3,145,-18.77
34.4,Mateus Oliveira (Meia),77.4,46.98,11.6,167,28.53
34.5,Mateus Oliveira (Meia),73.09,39.46,14.2,159,7.19
34.6,Mateus Oliveira (Meia),82.8,40.8,2.3,146,-32.88
34.7,Mateus Oliveira (Meia),65.01,43.5,16.2,168,38.56
34.8,Mateus Oliveira (Meia),69.97,50.55,14.6,165,-4.53
34.9,Mateus Oliveira (Meia),74.19,43.57,6.5,155,-22.53
35.0,Mateus Oliveira (Meia),76.84,34.25,4.5,146,-5.4
35.1,Mateus Oliveira (Meia),82.44,43.46,13.2,168,24.11
35.2,Mateus Oliveira (Meia),92.84,42.71,3.5,153,-26.92
35.3,Mateus Oliveira (Meia),88.51,28.81,6.3,157,7.79
35.4,Mateus Oliveira (Meia),80.12,42.49,3.7,149,-7.19
35.5,Mateus Oliveira (Meia),78.11,12.58,9.0,155,14.68
35.6,Mateus Oliveira (Meia),73.74,45.77,14.9,165,16.21
35.7,Mateus Oliveira (Meia),82.24,49.13,10.5,160,-12.11
35.8,Mateus Oliveira (Meia),76.09,45.82,13.1,167,7.15
35.9,Mateus Oliveira (Meia),83.01,33.35,7.6,156,-15.22
36.0,Mateus Oliveira (Meia),75.12,43.21,9.4,160,4.99
36.1,Mateus Oliveira (Meia),86.52,57.12,4.1,149,-14.71
36.2,Mateus Oliveira (Meia),93.29,56.88,8.6,159,12.55
36.3,Mateus Oliveira (Meia),80.24,40.98,6.0,153,-7.21
36.4,Mateus Oliveira (Meia),88.11,42.39,8.4,158,6.51
36.5,Mateus Oliveira (Meia),86.37,54.38,8.1,150,-0.76
36.6,Mateus Oliveira (Meia),75.44,19.91,7.7,158,-0.95
36.7,Mateus Oliveira (Meia),82.28,36.34,17.4,173,26.91
36.8,Mateus Oliveira (Meia),80.48,55.57,16.1,171,-3.78
36.9,Mateus Oliveira (Meia),80.09,53.9,14.7,163,-3.9
37.0,Mateus Oliveira (Meia),73.71,44.69,16.2,166,4.21
37.1,Mateus Oliveira (Meia),78.34,20.93,14.7,163,-4.18
37.2,Mateus Oliveira (Meia),83.48,40.68,8.9,159,-16.02
37.3,Mateus Oliveira (Meia),94.2,33.77,8.5,160,-1.14
37.4,Mateus Oliveira (Meia),86.0,42.74,9.9,157,4.0
37.5,Mateus Oliveira (Meia),100.73,29.77,8.2,162,-4.96
37.6,Mateus Oliveira (Meia),70.08,27.19,4.8,157,-9.22
37.7,Mateus Oliveira (Meia),85.25,17.06,10.2,160,14.85
37.8,Mateus Oliveira (Meia),80.9,54.97,2.7,150,-20.7
37.9,Mateus Oliveira (Meia),100.14,36.29,9.6,152,18.93
